LOC_ID,NAME,ADDRESS,ADDRESS2,MUNI_NAME,PROVINCE,POSTAL_CODE,NOTES,STATUS,PHONE,WEBSITE,REC_ID,PROPERTY_TYPE,LOC_TYPE,FOM_NAME,FOM_TYPE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,LOC_CODE,COUNTRY,LOC_ADD_ID,LAT,LONG
RLC10368,Fort Nelson General Hospital,5315 Liard Street,Bag 1000,Fort Nelson,BC,V0C 1R0,,Current,,,5377,,Hospital,,Community Educational Facility,RACHELW,20190923190332,RACHELW,20240927171717,FNGH,Canada,ARLC10368,1190499.6527,1540524.2307
RLC10012,Dr. Helmcken Memorial Hospital & Health Centre,640 Park Drive,Rural Route 1,Clearwater,BC,V0E 1N0,,Current,250-674-2244,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Dr.%20Helmcken%20Memorial%20Hospital&svc=&ploc=,5207,,Hospital,Clearwater,Community Educational Facility,,,RACHELW,20240927190005,DHMHHC,Canada,ARLC10012,1412889.1221,754548.3071
RLC10091,Prideaux Haven (Hunt Estate),Prideaux Haven (Hunt Estate),,Powell River,BC,V0P 1K0,,Current,,,5249,UBC (fee simple),Administrative,,,,,RACHELW,20240910191402,PRIDH,Canada,ARLC10091,1093740.8123,564635.3825
RLC10472,Haida Gwaii Institute at Haida Heritage Centre,2 Second Beach Road,,Skidegate,BC,V0T 1S1,,Current,,,,,Academic,,,RACHELW,20241114222511,RACHELW,20241119175231,HGIHHC,Canada,ARLC10472,601143.8069,932681.2835
RLC10390,Richmond Hospital - Child Health Centre,7000 Westminster Highway,,Richmond,BC,V6X 1A2,2 Faxes: (604) 244-5552 (Medical Administration) or (604) 244-5196 (Health Information Requests),Current,604-278-9711,http://www.vch.ca/Locations-Services/result?res_id=1,5076,,Hospital,Richmond Hospital,Affiliated Regional Centre,NIKT,20200128235533,RACHELW,20240801180237,RHMEC,Canada,ARLC10390,1208282.4593,465633.5749
RLC10010,Chemainus Health Care Centre,9909 Esplanade Street,,Chemainus,BC,V0R 1K1,,Current,250-737-2040,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/chemainus-health-care-centre,5206,,Health,Chemainus,Community Educational Facility,,,RACHELW,20240801180237,CHHCC,Canada,ARLC10010,1167585.0451,437241.6258
RLC10111,Mission Memorial Hospital,7324 Hurd Street,,Mission,BC,V2V 3H5,,Current,604-826-6261,https://www.fraserhealth.ca/Service-Directory/Locations/Mission/mission-memorial-hospital,5257,,Hospital,Mission,Community Educational Facility,,,RACHELW,20240801180237,MMH,Canada,ARLC10111,1267907.1865,464600.3063
RLC10113,Osoyoos Health Centre,4816 89th Street,,Osoyoos,BC,V0H 1V1,,Current,250-495-6433,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Osoyoos%20Health%20Centre&svc=&ploc=,5258,,Health,Osoyoos,Community Educational Facility,,,RACHELW,20240801180237,OSOHC,Canada,ARLC10113,1477561.9222,466954.1465
RLC10081,Indigenous Community Legal Clinic,148 Alexander Street,,Vancouver,BC,V6A 1B5,,Current,,,5242,Leased to UBC,Academic,,,,,RACHELW,20240801180237,INCLC,Canada,ARLC10081,1211049.489,478485.3657
RLC10082,UBC Learning Exchange,612 Main Street,,Vancouver,BC,V6A 2V4,,Current,,,5243,Leased to UBC,Administrative,,,,,RACHELW,20240801180237,UBCLE,Canada,ARLC10082,1211180.5879,477976.5082
RLC10086,Thacker Mountain,Thacker Mountain,,Hope,BC,V0X 1L1,,Current,,,5245,UBC (fee simple),Administrative,,,,,RACHELW,20240801180237,THKRM,Canada,ARLC10086,1332931.3318,497301.8739
RLC10087,Geological Field School Oliver,1737 Willowbrook Road,,Oliver,BC,V0X 1C0,Address Lease: 38216 149th Street,Current,,,5246,UBC (fee simple),Academic,,,,,RACHELW,20240801180237,GLFSO,Canada,ARLC10087,1466854.228,488611.3185
RLC10089,West Kootenay Rural Teacher Education Program,266 Baker Street,,Nelson,BC,V1L 4E2,,Current,,,5247,Leased to UBC,Academic,,,,,RACHELW,20240801180237,WKRTP,Canada,ARLC10089,1629323.7653,535875.4266
RLC10094,Canadian International Resources and Development Institute,"1166 Alberni Street, Unit 1606",,Vancouver,BC,V6E 1A5,,Current,,,5250,Leased to UBC,Academic,,,,,RACHELW,20240801180237,CIRDI,Canada,ARLC10094,1209238.8284,478689.5085
RLC10095,Dominion Radio Astrophysical Observatory,717 White Lake Road,,Kaleden,BC,V2A 6J9,,Current,,,5251,Licensed to UBC,Academic,,,,,RACHELW,20240801180237,DRAO,Canada,ARLC10095,1463605.7947,499314.9086
RLC10008,Castlegar & District Community Health Centre,709 10th Street,,Castlegar,BC,V1N 2H7,,Current,250-365-7711,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Castlegar%20and%20District%20Community%20Health%20Centre&svc=&ploc=,5204,,Health,Castlegar,Community Educational Facility,,,RACHELW,20240801180237,CDCHC,Canada,ARLC10008,1605472.3254,513285.5052
RLC10009,Chase Health Centre,825 Thompson Avenue,,Chase,BC,V0E 1M0,,Current,250-679-3312,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Chase%20Health%20Centre&svc=&ploc=,5205,,Health,Chase,Community Educational Facility,,,RACHELW,20240801180237,CHSHC,Canada,ARLC10009,1444009.075,664653.5871
RLC10359,University Hospital of Northern British Columbia - John G. McKenzie Family Practice Centre,1230 Alward Street,,Prince George,BC,V2M 7B1,,Current,,,5090,,Hospital,,Community Educational Facility,GISSTUD1,20190920224338,RACHELW,20240801180237,UHNBCM,Canada,ARLC10359,1211853.522,994735.3556
RLC10062,Vernon Jubilee Hospital,2101 32nd Street,,Vernon,BC,V1T 5L2,,Current,250-545-2211,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Vernon%20Jubilee%20Hospital&svc=&ploc=,5088,,Hospital,Vernon Jubilee Hospital,Affiliated Regional Centre,,,RACHELW,20240801180237,VJH,Canada,ARLC10062,1478886.8528,605193.1023
RLC10380,West Coast General Hospital,3949 Port Alberni Highway,,Port Alberni,BC,V9Y 4S1,,Current,,,5123,,Hospital,,Community Educational Facility,RACHELW,20190923225358,RACHELW,20240801180237,WCGH,Canada,ARLC10380,1088720.2768,471014.6149
RLC10092,Survive & Thrive Applied Research,1652 Innovation Drive,,Kelowna,BC,V1V 2Z6,and 1654 Innovation Dr,Current,,,4037,Leased to UBC,Academic,,,RACHELW,20190924214447,RACHELW,20240801180237,STAR,Canada,ARLC10092,1473721.7815,570261.5346
RLC10466,Loon Lake - Johnson Yew and Arbutus Cabins,14500 Silver Valley Road,,Maple Ridge,BC,V4R 2R3,,Current,,,5435,UBC (fee simple),Academic,,,RACHELW,20240509181532,RACHELW,20240801180237,LLJAC,Canada,ARLC10466,1248249.4312,482358.0314
RLC10001,Abbotsford Regional Hospital,32900 Marshall Road,,Abbotsford,BC,V2S 0C2,,Current,604-851-4700,https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre,5080,,Hospital,Abbotsford Regional Hospital,Affiliated Regional Centre,,,RACHELW,20240801180237,ARH,Canada,ARLC10001,1269881.2462,453746.9243
RLC10011,Chilliwack General Hospital,45600 Menholm Road,,Chilliwack,BC,V2P 1P7,,Current,604-795-4141,https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital,5081,,Hospital,Chilliwack General Hospital,Affiliated Regional Centre,,,RACHELW,20240801180237,CGH,Canada,ARLC10011,1294511.8638,469567.8597
RLC10208,Seven Oaks Mental Health,4575 Blenkinsop Road,,Victoria,BC,V8X 2C7,,Current,,,5335,,Health,,HR,,,RACHELW,20240801180237,SVOMH,Canada,ARLC10208,1195774.3715,390543.432
RLC10209,TriCities Mental Health Office,2232 Elgin Avenue,,Port Coquitlam,BC,V3C 2B2,,Current,,,5336,,Health,,HR,,,RACHELW,20240801180237,TRMHO,Canada,ARLC10209,1234665.3467,477130.9298
RLC10223,New Westminster Mental Health and Substance Use Centre,403 6th Street,2nd Floor,New Westminster,BC,V3L 3B1,,Current,,,5340,,Health,,HR,GISSTUD1,20190918233508,RACHELW,20240801180237,NWSUC,Canada,ARLC10223,1224833.0245,470913.995
RLC10224,Youth Forensic Psychiatric Services,7900 Fraser Park Drive,,Burnaby,BC,V5J 5H1,,Current,,,5341,,Health,,HR,GISSTUD1,20190918233840,RACHELW,20240801180237,BYIAU,Canada,ARLC10224,1219837.7268,467924.827
RLC10321,Kelowna Mental Health & Substance Use,505 Doyle Avenue,,Kelowna,BC,V1Y 0C5,,Current,,,5342,,Health,,HR,GISSTUD1,20190920203841,RACHELW,20240801180237,KMHSU,Canada,ARLC10321,1466981.7993,562894.3396
RLC10114,Oceanside Health Centre,489 Alberni Highway,,Parksville,BC,V9P 1J9,,Current,250-951-9550,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/oceanside-health-centre,5259,,Health,Parksville,Community Educational Facility,,,RACHELW,20240801180237,OCNHC,Canada,ARLC10114,1121886.3187,478514.2488
RLC10115,Eagle Ridge Hospital,475 Guildford Way,,Port Moody,BC,V3H 3W9,,Current,604-461-2022,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital,5260,,Hospital,Port Moody,Community Educational Facility,,,RACHELW,20240801180237,ERH,Canada,ARLC10115,1231252.7607,479545.786
RLC10116,Powell River General Hospital,5000 Joyce Avenue,,Powell River,BC,V8A 5R3,,Current,604-485-3211,http://www.vch.ca/Locations-Services/result?res_id=655,5261,,Hospital,Powell River,Community Educational Facility,,,RACHELW,20240801180237,PRGH,Canada,ARLC10116,1106562.1394,538462.3039
RLC10117,Prince Rupert Regional Hospital,1305 Summit Avenue,,Prince Rupert,BC,V8J 2A6,,Current,250-624-2171,https://www.northernhealth.ca/locations/hospitals/prince-rupert-regional-hospital,5262,,Hospital,Prince Rupert,Community Educational Facility,,,RACHELW,20240801180237,PRRH,Canada,ARLC10117,718983.4887,1042170.0792
RLC10054,Surrey Memorial Hospital,13750 96th Avenue,,Surrey,BC,V3V 1Z2,,Current,604-581-2211,https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/surrey-memorial-hospital,5074,,Hospital,Surrey Memorial Hospital,Clinical Academic Campus,,,RACHELW,20240801180237,SMH,Canada,ARLC10054,1230376.7023,467316.3251
RLC10056,University Hospital of Northern British Columbia,1475 Edmonton Street,,Prince George,BC,V2M 1S2,,Current,250-565-2000,https://www.northernhealth.ca/locations/hospitals/university-hospital-northern-british-columbia-uhnbc,5092,,Hospital,University Hospital of Northern British Columbia,Clinical Academic Campus,,,RACHELW,20240801180237,UHNBC,Canada,ARLC10056,1211949.0722,994721.4386
RLC10063,Victoria General Hospital,1 Hospital Way,,Victoria,BC,V8Z 6R5,,Current,250-727-4212,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/victoria-general-hospital-vgh,5115,,Hospital,Victoria General Hospital,Clinical Academic Campus,,,RACHELW,20240801180237,VICGH,Canada,ARLC10063,1190208.6768,386899.7163
RLC10022,Fort St. John Hospital,8407 112 Avenue,,Fort St. John,BC,V1J 0J5,,Current,250-262-5200,https://www.northernhealth.ca/locations/hospitals/fort-st-john-hospital-peace-villa,5089,,Health,Fort St. John Hospital,Affiliated Regional Centre,,,RACHELW,20240801180237,FSJH,Canada,ARLC10022,1318759.9302,1262023.5596
RLC10039,Lions Gate Hospital,231 East 15th Street,,North Vancouver,BC,V7L 2L7,,Current,604-988-3131,http://www.vch.ca/Locations-Services/result?res_id=1244,5075,,Hospital,Lions Gate Hospital,Affiliated Regional Centre,,,RACHELW,20240801180237,LGH,Canada,ARLC10039,1213277.9583,482716.13
RLC10080,Robson Square,800 Robson Street,,Vancouver,BC,V6Z 2E7,,Current,,,5000,Leased to UBC,Academic,,,,,RACHELW,20240801180237,ROBS,Canada,ARLC10080,1209530.1266,478234.5703
RLC10365,Chetwynd Hospital,"5500 Hospital Road, PO Box 507",,Chetwynd,BC,V0C 1J0,,Current,,,5374,,Hospital,,Community Educational Facility,RACHELW,20190923190124,RACHELW,20240801180237,CHTDH,Canada,ARLC10365,1272949.0505,1197416.6781
RLC10050,Royal Columbian Hospital - Columbia Tower,330 East Columbia Street,,New Westminster,BC,V3L 3W7,,Current,604-520-4253,https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital,5072,,Hospital,Royal Columbian Hospital,Clinical Academic Campus,,,RACHELW,20240801180237,RCH,Canada,ARLC10050,1226581.5751,472735.1677
RLC10118,Princeton General Hospital,98 Ridgewood Drive,,Princeton,BC,V0X 1W0,,Current,250-295-3233,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Princeton%20General%20Hospital&svc=&ploc=,5263,,Hospital,Princeton,Community Educational Facility,,,RACHELW,20240801180237,PGH,Canada,ARLC10118,1396683.8456,508420.3452
RLC10129,Summerland Health Centre,12815 Atkinson Road,,Summerland,BC,V0H 1Z0,,Current,250-404-8000,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Summerland%20Health%20Centre&svc=&ploc=,5274,,Health,Summerland,Community Educational Facility,,,RACHELW,20240801180237,SUMHC,Canada,ARLC10129,1457265.1676,529961.3911
RLC10130,Tofino General Hospital,"261 Neill Street, PO Box 190",,Tofino,BC,V0R 2Z0,,Current,250-725-4010,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/tofino-general-hospital,5275,,Hospital,Tofino,Community Educational Facility,,,RACHELW,20240801180237,TGH,Canada,ARLC10130,1006701.8243,459472.6131
RLC10322,Island Health,"1040 Shoppers Row, Unit 207",,Campbell River,BC,V9W 2C6,,Current,,,5343,,Health,,HR,GISSTUD1,20190920205904,RACHELW,20240801180237,ISLDH,Canada,ARLC10322,1054128.3792,556974.8379
RLC10324,Squamish Mental Health & Addiction Services,38075 2nd Avenue,,Squamish,BC,V8B 0A2,,Current,,,5344,,Health,,HR,GISSTUD1,20190920210437,RACHELW,20240801180237,SMHAS,Canada,ARLC10324,1205329.767,524562.7128
RLC10456,India Liaison Office ,"Plot c2, District Centre, Saket","Unit 121, Square One",New Delhi,ND,110017,,Current,,,5423,,Academic,,,RACHELW,20240125175028,RACHELW,20240801180237,GILO,India,ARLC10456,-4915743.129,10069893.7063
RLC10083,Centre for Digital Media (Great Northern Way Campus),685 Great Northern Way,,Vancouver,BC,V5T 1E1,Joint venture,Current,,,5244,Leased to UBC,Academic,,,,,RACHELW,20240801180237,CDIGM,Canada,ARLC10083,1211901.0337,476698.4419
RLC10412,Royal Columbian Hospital,330 East Columbia Street,,New Westminster,BC,V3L 3W7,,Current,604-520-4253,https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital,5073,,Hospital,Royal Columbian Hospital,Clinical Academic Campus,RACHELW,20200424211230,RACHELW,20240801180237,RCHHC,Canada,ARLC10412,1226637.9671,472691.5677
RLC10371,Nelson Health Centre,333 Victoria Street,,Nelson,BC,V1L 4K3,,Current,,,5380,,Health,,Community Educational Facility,GISSTUD1,20190920231003,RACHELW,20240801180237,NELHC,Canada,ARLC10371,1629437.3571,535878.1393
RLC10373,Richmond Mental Health Team,"7671 Alderbridge Way, Unit 210",,Richmond,BC,V6X 1Z9,,Current,,,5382,,Health,,HR,GISSTUD1,20190920231355,RACHELW,20240801180237,RMMHT,Canada,ARLC10373,1208361.0088,466213.1763
RLC10073,Bamfield Marine Station,100 Pachena Road,,Bamfield,BC,V0R 1B0,Joint venture,Current,,,5236,Leased to UBC,Academic,,,,,RACHELW,20240801180237,BAMMS,Canada,ARLC10073,1063572.2997,424741.9996
RLC10078,Mandarte Island,Mandarte Island,,Southern Gulf Island,BC,V8L 5Y7,UBC Agreement Use,Current,,,5241,Licensed to UBC,Administrative,,,,,RACHELW,20240801180237,MNDIS,Canada,ARLC10078,1199724.4367,405936.4397
RLC10449,UBC Dairy Education and Research Centre - Westgen Calf Research Facility,"6947 Lougheed Highway, Box 202",,Agassiz,BC,V0M 1A0,,Current,,,1920-01,Leased to UBC,Academic,,,RACHELW,20230822025807,RACHELW,20240801180237,DAIRY1,Canada,ARLC10449,1308462.8035,478770.8859
RLC10437,Remote Work Location - Prince Edward Island,Remote Work Location - Prince Edward Island,,,PE,C1A 7L7,Remote,Current,,,5408,<Null>,Administrative,,,RACHELW,20220124221150,RACHELW,20240801180237,WCBPE1,Canada,ARLC10437,5262304.3807,2164545.6888
RLC10410,University Hospital of Northern British Columbia - Learning and Development Centre,1475 Edmonton Street,,Prince George,BC,V2M 1S2,,Current,250-565-2000,https://www.northernhealth.ca/locations/hospitals/university-hospital-northern-british-columbia-uhnbc,5091,,Hospital,University Hospital of Northern British Columbia,Clinical Academic Campus,NIKT,20200129175815,RACHELW,20240801180237,UHNBCC,Canada,ARLC10410,1211948.7823,994671.5374
RLC10420,University of Northern British Columbia - Dr. Donald Rix Northern Health Sciences Centre,3333 University Way,,Prince George,BC,V2N 4Z9,,Current,250-960-5555,https://www.unbc.ca/,5093,,Hospital,University of Northern British Columbia,,RACHELW,20201110233610,RACHELW,20240801180237,UNBCS,Canada,ARLC10420,1208884.5365,992417.8969
RLC10024,Beaver Valley Clinic,1957 Columbia Gardens Road,,Fruitvale,BC,V0G 1L0,,Current,250-367-9211,http://kb.fetchbc.ca/service.html?i=1563,5216,,Health,Fruitvale,Community Educational Facility,,,RACHELW,20240801180237,BEAVC,Canada,ARLC10024,1616637.6463,492294.4369
RLC10025,Galiano Island Health Care Centre,908 Burrill Road,,Galiano Island,BC,V0N 1P0,,Current,250-539-3230,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/galiano-island-health-care-centre,5217,,Health,Galiano Island,Community Educational Facility,,,RACHELW,20240801180237,GIHCC,Canada,ARLC10025,1196846.636,432097.4603
RLC10026,Gibsons Medical Clinic,"1100 Sunshine Coast Highway, Unit 211",,Gibsons,BC,V0N 1V7,,Current,604-886-2868,http://www.gibsonsmedicalassociates.net/index.html,5218,,Health,Gibsons,Community Educational Facility,,,RACHELW,20240801180237,GIBMC,Canada,ARLC10026,1179336.865,491211.8329
RLC10027,Golden & District General Hospital,835 9th Avenue South,,Golden,BC,V0A 1H0,,Current,250-344-5271,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Golden%20%25and%25%20District%20Hospital&svc=&ploc=,5219,,Hospital,Golden,Community Educational Facility,,,RACHELW,20240801180237,GDGH,Canada,ARLC10027,1627511.0574,738284.8816
RLC10028,Boundary District Hospital,7649 22nd Street,,Grand Forks,BC,V0H 1H2,,Current,250-443-2100,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Boundary%20District%20Hospital&svc=&ploc=,5220,,Hospital,Grand Forks,Community Educational Facility,,,RACHELW,20240801180237,BNYDH,Canada,ARLC10028,1550420.4844,475273.7988
RLC10029,Wrinch Memorial Hospital,2510 Highway 62,,Hazelton,BC,V0J 1Y0,,Current,250-842-5211,https://www.northernhealth.ca/locations/long-term-care/wrinch-memorial-hospital,5221,,Hospital,Hazelton,Community Educational Facility,,,RACHELW,20240801180237,WMH,Canada,ARLC10029,895578.3039,1141721.2481
RLC10378,UBC West Campus Lands,UBC West Campus Lands,,Kelowna,BC,V1V 1V7,,Current,,,5385,UBC (fee simple),Administrative,,,RACHELW,20190924215933,RACHELW,20240801180237,UWTCL,Canada,ARLC10378,1472685.5588,569638.0782
RLC10354,UBC Endowment Lands Ecological Reserve,UBC Endowment Lands Ecological Reserve,,Vancouver,BC,V6T 1Z4,,Current,,,5364,UBC (fee simple),Administrative,,,RACHELW,20190924220322,RACHELW,20240801180237,UELER,Canada,ARLC10354,1202526.4413,473745.7744
RLC10381,Centre for Gender & Sexual Health Equity,1190 Hornby Street,11th Floor,Vancouver,BC,V6Z 2K5,,Current,,,5410,,Academic,,HR,RACHELW,20190925191009,RACHELW,20240801180237,CGSHE,Canada,ARLC10381,1209132.9892,477805.135
RLC10385,VCH Research Institute,2635 Laurel Street,6th Floor,Vancouver,BC,V5Z 1M9,,Current,604-875-4111,,5389,,Health,,HR,RACHELW,20190925220211,RACHELW,20240801180237,VCHRI,Canada,ARLC10385,1209343.7773,475975.3208
RLC10120,G.R. Baker Memorial Hospital,543 Front Street,,Quesnel,BC,V2J 2K7,,Current,250-985-5600,https://www.northernhealth.ca/locations/hospitals/gr-baker-hospital,5265,,Hospital,Quesnel,Community Educational Facility,,,RACHELW,20240801180237,GRBMH,Canada,ARLC10120,1234448.9062,891723.9485
RLC10121,Queen Victoria Hospital,1200 Newlands Road,,Revelstoke,BC,V0E 2S0,,Current,250-837-2131,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Queen%20Victoria%20Hospital&svc=&ploc=,5266,,Hospital,Revelstoke,Community Educational Facility,,,RACHELW,20240801180237,QVH,Canada,ARLC10121,1546749.1316,692750.7016
RLC10460,Loon Lake - Monsanto Classroom,14500 Silver Valley Road,,Maple Ridge,BC,V4R 2R3,,Current,,,5432,UBC (fee simple),Academic,,,RACHELW,20240512033320,RACHELW,20240801180237,LLMCL,Canada,ARLC10460,1248221.2073,482430.0751
RLC10465,UBC Dairy Education and Research Centre - Avian Building,"6947 Lougheed Highway, Box 202",,Agassiz,BC,V0M 1A0,,Current,,,5439,Leased to UBC,Academic,,,RACHELW,20240512033934,RACHELW,20240801180739,DAIRY6,Canada,ARLC10465,1308665.7276,478893.6138
RLC10030,Fraser Canyon Hospital,1275 7th Avenue,,Hope,BC,V0X 1L4,,Current,604-869-5656,https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital,5222,,Hospital,Hope,Community Educational Facility,,,RACHELW,20240801180237,FCH,Canada,ARLC10030,1332302.2343,495281.8471
RLC10031,Invermere & District Hospital,850 10th Avenue,,Invermere,BC,V0A 1K0,,Current,250-342-9201,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Invermere%20%25and%25%20District%20Hospital&svc=&ploc=,5223,,Hospital,Invermere,Community Educational Facility,,,RACHELW,20240801180237,IDH,Canada,ARLC10031,1704308.7807,659824.6434
