BLDG_USAGE,NAME,BLDG_CODE,PRIMARY_ADDRESS,POSTAL_CODE,BLDG_UID,CONSTR_STATUS,LAT,LONG
Academic,Irving K. Barber Learning Centre,IBLC,1961 East Mall,V6T 1Z1,VBL10080,Complete,-123.252745,49.267583
Academic,Jack Bell Building for the School of Social Work,SOWK,2080 West Mall,V6T 1Z2,VBL10081,Complete,-123.255099,49.264476
Academic,Continuing Studies Building,CSB,2121 West Mall,V6T 1Z4,VBL10083,Complete,-123.255022,49.263338
Academic,Biomedical Research Centre,BRC,2222 Health Sciences Mall,V6T 1Z3,VBL10084,Complete,-123.24719,49.26412
Academic,Fred Kaiser Building,KAIS,2332 Main Mall,V6T 1Z4,VBL10085,Complete,-123.250079,49.262352
Academic,Beaty Biodiversity Centre,BETY,2212 Main Mall,V6T 1Z4,VBL10086,Complete,-123.250343,49.263442
Academic,Aquatic Ecosystems Research Laboratory,AERL,2202 Main Mall,V6T 1Z4,VBL10087,Complete,-123.250984,49.263761
Housing,Crescent West,CRSW,5879 Gray Avenue,V6S 0A9,VBL10219,Complete,-123.232746,49.253143
Academic,Mathematics Annex,MATX,1986 Mathematics Road,V6T 1Z2,VBL10216,Complete,-123.254854,49.266106
StudentHousing,Marine Drive Residence - 4,MAR4,"2205 Lower Mall, Building 4",V6T 1Z4,VBL10217,Complete,-123.255355,49.261559
StudentHousing,Marine Drive Residence - 6,MAR6,"2205 Lower Mall, Building 6",V6T 1Z4,VBL10218,Complete,-123.256074,49.261076
Academic,Michael Smith Laboratories,MSL,2185 East Mall,V6T 1Z4,VBL10221,Complete,-123.250207,49.264564
Academic,UBC Research Ponds,RESP,4069 Wesbrook Mall,V6T 1W5,VBL10222,Complete,-123.232721,49.247161
Housing,Central,CNTL,6015 University Boulevard,V6T 0C4,VBL10356,Complete,-123.247244,49.266347
Housing,The Residences at Nobel Park - Apartment,REN1,3533 Ross Drive,,VBL10353,UnderConstruction,-123.234997,49.250616
Parking,UBC Exchange,TRAN,1985 Wesbrook Mall,V6T 2C9,VBL10354,Complete,-123.247729,49.268347
Parking,University Boulevard Lot,ULOT,6131 University Boulevard,V6T 1Z3,VBL10355,Complete,-123.248957,49.266712
Parking,Health Sciences Parkade,PARH,2250 Health Sciences Mall,V6T 1Z3,VBL10357,Complete,-123.247851,49.2634
StudentHousing,Place Vanier Residence - Robson House,VNR10,"1935 Lower Mall, Building 7",V6T 1X1,VBL10358,Complete,-123.258437,49.263908
Academic,Hennings Building,HENN,6224 Agricultural Road,V6T 1Z1,VBL10359,Complete,-123.252206,49.266441
Athletics,National Soccer Development Centre,NSDC,3065 Wesbrook Mall,V6T 1Z3,VBL10091,Complete,-123.240037,49.257119
Services,Marine Drive Residence - 3 Commonsblock,MAR3,"2205 Lower Mall, Building 3",V6T 1Z4,VBL10088,Complete,-123.256855,49.261412
StudentHousing,Marine Drive Residence - 5,MAR5,"2205 Lower Mall, Building 5",V6T 1Z4,VBL10089,Complete,-123.254908,49.261116
Athletics,UBC Tennis Centre,TENN,6160 Thunderbird Boulevard,V6T 1Z3,VBL10090,Complete,-123.24386,49.259491
Academic,Chan Gunn Pavilion,GUNN,2553 Wesbrook Mall,V6T 1Z3,VBL10092,Complete,-123.241614,49.260961
Academic,Leon and Thea Koerner University Centre,UCEN,6331 Crescent Road,V6T 1Z2,VBL10093,Complete,-123.257222,49.268896
Academic,Medical Sciences Block C,MEDC,2176 Health Sciences Mall,V6T 1Z3,VBL10094,Complete,-123.247878,49.264971
Academic,Neville Scarfe Building,SCRF,2125 Main Mall,V6T 1Z4,VBL10095,Complete,-123.253098,49.26397
Housing,Dahlia House,DAHL,3515 Wesbrook Mall,V6S 0H2,VBL10096,Complete,-123.233923,49.25214
Operations,Lower Mall Header House,LMHH,2331 Lower Mall,V6T 1Z4,VBL10097,Complete,-123.254818,49.260524
Academic,Totem Field Studios,TFS1,2613 West Mall,V6T 1Z4,VBL10223,Complete,-123.249005,49.25612
Housing,Gardenia House,GARD,6309 Larkin Drive,V6T 0C2,VBL10224,Complete,-123.248966,49.258728
Housing,Journey,JOUR,6328 Larkin Drive,V6T 2K2,VBL10225,Complete,-123.247486,49.258032
Academic,Asian Centre,ACEN,1871 West Mall,V6T 1Z2,VBL10227,Complete,-123.258709,49.266747
Administrative,Auditorium Annexes,AUDX,1924 West Mall,V6T 1Z2,VBL10228,Complete,-123.256625,49.266575
Academic,Mathematics Building,MATH,1984 Mathematics Road,V6T 1Z2,VBL10229,Complete,-123.255554,49.266451
Administrative,Hugh Dempster Pavilion,DMP,6245 Agronomy Road,V6T 1Z4,VBL10363,Complete,-123.248044,49.261251
StudentHousing,Place Vanier Residence - Cariboo House,VNR02,"1935 Lower Mall, Building 6",V6T 1X1,VBL10360,Complete,-123.258973,49.26374
Other,Hillel House - Diamond Foundation Centre for Jewish Campus Life,HILL,6145 Student Union Boulevard,V6T 1Z1,VBL10361,Complete,-123.251328,49.268616
Academic,Horticulture Building,HORT,6394 Stores Road,V6T 1Z4,VBL10362,Complete,-123.252772,49.261395
Operations,In-Vessel Composting Facility,COMP,6035 Nurseries Road,V6T 1W5,VBL10364,Complete,-123.228013,49.244844
StudentHousing,Place Vanier Residence - Sherwood Lett House,VNR11,"1935 Lower Mall, Building 4",V6T 1X1,VBL10365,Complete,-123.257533,49.263393
Academic,John Barfoot Macdonald Building,MCDN,2199 Wesbrook Mall,V6T 1Z3,VBL10366,Complete,-123.245336,49.265339
StudentHousing,Place Vanier Residence - Tec De Monterrey House,VNR12,"1935 Lower Mall, Building 8",V6T 1X1,VBL10367,Complete,-123.259536,49.264033
StudentHousing,Place Vanier Residence - Phyllis Ross House,VNR09,"1935 Lower Mall, Building 11",V6T 1X1,VBL10368,Complete,-123.259613,49.265321
StudentHousing,Place Vanier Residence - Tweedsmuir House,VNR13,"1935 Lower Mall, Building 5",V6T 1X1,VBL10369,Complete,-123.258307,49.263479
StudentHousing,Exchange Residence,EXCH,5960 Student Union Boulevard,V6T 2C9,VBL10370,Complete,-123.247698,49.268598
Administrative,International House,INTL,1783 West Mall,V6T 1Z2,VBL10371,Complete,-123.258963,49.267805
Academic,Music Building,MUSC,6361 Memorial Road,V6T 1Z2,VBL10101,Complete,-123.256792,49.267436
StudentHousing,Thunderbird Residence - Coast,THR4,"6335 Thunderbird Crescent, Building 4",V6T 2G9,VBL10098,Complete,-123.247556,49.259928
Academic,Hector J. MacLeod Building,MCLD,2356 Main Mall,V6T 1Z4,VBL10099,Complete,-123.249401,49.261713
Operations,Lower Mall Research Station,LMRS,2259 Lower Mall,V6T 1Z4,VBL10100,Complete,-123.255519,49.260542
Academic,P. A. Woodward Instructional Resources Centre,IRC,2194 Health Sciences Mall,V6T 1Z3,VBL10102,Complete,-123.24685,49.264818
Services,Djavad Mowafaghian Centre for Brain Health,CBH,2215 Wesbrook Mall,V6T 1Z3,VBL10103,Complete,-123.244565,49.264273
Academic,Allard Hall,ALRD,1822 East Mall,V6T 1Z1,VBL10104,Complete,-123.253294,49.270054
Parking,North Parkade,PARN,6115 Student Union Boulevard,V6T 1Z1,VBL10234,Complete,-123.250935,49.269042
Services,Nitobe Memorial Garden,NITO,1895 Lower Mall,V6T 1Z2,VBL10230,Complete,-123.259227,49.266162
Housing,Focal,FOCL,6111 University Boulevard,V6T 0C7,VBL10232,UnderConstruction,-123.248424,49.266174
Services,Norman MacKenzie House,MCKH,6565 NW Marine Drive,V6T 1A7,VBL10233,Complete,-123.261198,49.267663
Services,Museum of Anthropology,MOA,6393 NW Marine Drive,V6T 1Z2,VBL10235,Complete,-123.259431,49.269501
Services,Child Care Services - Willow,MCC3,2845 Revelstoke Court,V6T 1S1,VBL10375,Complete,-123.235332,49.26084
Services,Child Care Services - Saw-Whet,MCC1,2850 Salmo Court,V6T 1S1,VBL10372,Complete,-123.236533,49.260392
Services,Child Care Services - Barish,MCC2,2835 Revelstoke Court,V6T 1S1,VBL10373,Complete,-123.235488,49.260488
Services,Kids Club,KIDS,2855 Acadia Road,V6T 1S1,VBL10374,Complete,-123.234812,49.26173
Services,Ladner Clock Tower,CLCK,1956 Main Mall,V6T 1Z1,VBL10376,Complete,-123.253632,49.267397
Academic,Landscape Architecture Annex,LAX,2371 Main Mall,V6T 1Z4,VBL10377,Complete,-123.250073,49.260647
StudentHousing,Pacific Residences - Building 2 - Sword Fern House,PAR2,5955 Student Union Boulevard,,VBL10378,UnderConstruction,-123.248459,49.269229
Housing,Nobel House,NOBL,3655 Wesbrook Mall,V6S 0G6,VBL10379,Complete,-123.233198,49.25083
StudentHousing,Pacific Residences - Building 1 - Driftwood House,PAR1,5985 Student Union Boulevard,,VBL10381,UnderConstruction,-123.249612,49.268822
StudentHousing,Pacific Residences - Building 5 - Sandpiper House,PAR5,"5955 Student Union Boulevard, Building 3",,VBL10382,UnderConstruction,-123.248296,49.270582
StudentHousing,Pacific Residences - Building 5 - Sandpiper House,PAR5,5970 Walter Gage Road,,VBL10382,UnderConstruction,-123.248296,49.270582
StudentHousing,Pacific Residences - Building 3 - Orcas House,PAR3,"5955 Student Union Boulevard, Building 1",,VBL10383,UnderConstruction,-123.247869,49.269615
StudentHousing,Pacific Residences - Building 4 - Salal House,PAR4,"5955 Student Union Boulevard, Building 2",,VBL10384,UnderConstruction,-123.247986,49.270206
Academic,Indian Residential School History and Dialogue Centre,IRSC,1985 Learners' Walk,V6T 1Z1,VBL10109,Complete,-123.253754,49.267001
Housing,Sandringham,SAND,5650 Hampton Place,V6T 2G5,VBL10106,Complete,-123.233552,49.257841
Academic,School of Population & Public Health,SPPH,2206 East Mall,V6T 1Z3,VBL10107,Complete,-123.248419,49.264234
Services,Place Vanier Residence - Commonsblock,VNR03,"1935 Lower Mall, Building 1",V6T 1X1,VBL10108,Complete,-123.258577,49.264656
Academic,Pharmaceutical Sciences Building,PHRM,2405 Wesbrook Mall,V6T 1Z3,VBL10110,Complete,-123.243281,49.262292
Academic,Life Sciences Centre,LSC,2350 Health Sciences Mall,V6T 1Z3,VBL10111,Complete,-123.245121,49.26254
Housing,Sitka,SITK,5868 Agronomy Road,V6T 0B5,VBL10112,Complete,-123.241952,49.262888
Housing,Pathways - East Building,PTHE,5779 Birney Avenue,V6S 0A3,VBL10239,Complete,-123.232835,49.25463
Research,3800 Wesbrook Mall,3800,3800 Wesbrook Mall,V6T 1W5,VBL10236,Complete,-123.2303,49.2502
Athletics,UBC Baseball Rose Indoor Training Centre,BTC,3085 Wesbrook Mall,V6T 1Z4,VBL10237,Complete,-123.23951,49.256203
Housing,Spirit,SPRT,3478 Wesbrook Mall,V6S 0B6,VBL10238,Complete,-123.233615,49.252974
Housing,Pathways - West Building,PTHW,5777 Birney Avenue,V6S 0A4,VBL10240,Complete,-123.233782,49.254396
Housing,The Laureates - Highrise,LAR1,5628 Birney Avenue,V6S 0H7,VBL10241,Complete,-123.230758,49.254092
Other,University Hill Secondary School,UHIL,3228 Ross Drive,V6S 0C6,VBL10242,Complete,-123.238748,49.254251
Services,UBC Hospital - Purdy Pavilion,PPAV,2221 Wesbrook Mall,V6T 1Z9,VBL10388,Complete,-123.245952,49.263267
Academic,First Nations Longhouse,FNLH,1985 West Mall,V6T 1Z2,VBL10386,Complete,-123.257199,49.26555
Housing,Chancellor House - Apartment,CHOA,6015 Iona Drive,V6T 2J4,VBL10387,Complete,-123.251446,49.271562
Housing,Sail - Building 2,SAL2,5981 Gray Avenue,V6S 0G1,VBL10390,Complete,-123.235195,49.252597
StudentHousing,St. John's College,STJC,2111 Lower Mall,V6T 1Z4,VBL10116,Complete,-123.256818,49.262578
Parking,Thunderbird Parkade,PART,6085 Thunderbird Boulevard,V6T 1Z3,VBL10113,Complete,-123.243051,49.261659
Housing,St. Andrew's Hall,STH,6040 Iona Drive,V6T 2E8,VBL10114,Complete,-123.251761,49.270164
Housing,St. James House,STJA,5835 Hampton Place,V6T 2G2,VBL10115,Complete,-123.237176,49.258207
StudentHousing,Fraser Hall,FRAS,2550 Wesbrook Mall,V6T 1Z3,VBL10117,Complete,-123.240737,49.261478
Other,St. Mark's College,STMK,5935 Iona Drive,V6T 1J7,VBL10118,Complete,-123.249156,49.272273
Athletics,UBC Football Academic Centre,FOOT,6298 Stadium Road,V6T 1Z4,VBL10246,Complete,-123.244986,49.255245
Research,NRC Institute for Fuel Cell Innovation,NRC,4250 Wesbrook Mall,V6T 1W5,VBL10243,Complete,-123.232293,49.245192
Housing,Eton - Townhouses,ETN3,"5687 Gray Avenue, Building 1",,VBL10244,Complete,-123.231518,49.253524
Academic,UBC Farm - Harvest Hut / Market,FRM2,"3461 Ross Drive, Building 5",V6T 1W5,VBL10245,Complete,-123.237944,49.250754
Housing,Georgia Point,GEOP,3381 Ross Drive,,VBL10247,UnderConstruction,-123.239225,49.251953
Administrative,UBC Life Building,LIFE,6138 Student Union Boulevard,V6T 1Z1,VBL10248,Complete,-123.250084,49.267434
Administrative,Thea Koerner House Graduate Student Centre,THEA,6371 Crescent Road,V6T 1Z2,VBL10249,Complete,-123.257889,49.268438
StudentHousing,Ritsumeikan-UBC House,RITS,6460 Agronomy Road,V6T 1Z4,VBL10250,Complete,-123.253006,49.2601
Academic,The Leonard S. Klinck Building,LSK,6356 Agricultural Road,V6T 1Z2,VBL10252,Complete,-123.255345,49.265432
StudentHousing,Totem Park Residence - Building 5,TPR5,"2525 West Mall, Building 5",V6T 1W9,VBL10128,Complete,-123.251192,49.258594
Services,Totem Park Residence - Commonsblock 1,TPR1,"2525 West Mall, Building 1",V6T 1W9,VBL10231,Complete,-123.252998,49.258021
StudentHousing,Totem Park Residence - Building 4,TPR4,"2525 West Mall, Building 4",V6T 1W9,VBL10016,Complete,-123.251552,49.259171
StudentHousing,Totem Park Residence - Building 7,TPR7,"2525 West Mall, Building 7",V6T 1W9,VBL10105,Complete,-123.251645,49.256806
Academic,Robert F. Osborne Centre - Unit 1,OSB1,,,VBL10251,Complete,-123.243723,49.260289
Housing,Chancellor Hall - Townhouses,CHHT,,,VBL10271,Complete,-123.250356,49.272193
Housing,Coast - Duplexes,COSD,,,VBL10399,Complete,-123.253238,49.271304
Housing,Coast - Townhouses,COST,,,VBL10277,Complete,-123.253052,49.271064
Housing,St. Mark's Duplexes,STMD,,,VBL10279,Complete,-123.249411,49.272726
Housing,Hawthorn Green,HAWT,,,VBL10144,Complete,-123.248583,49.258173
Housing,Somerset,SOMS,,,VBL10147,Complete,-123.248143,49.256497
Housing,Folio - Duplexes,FOL3,,,VBL10291,Complete,-123.250607,49.272418
Housing,Conservatory - Townhouses,CSY1,,,VBL10428,PreConstruction,-123.232102,49.255838
Housing,Nine on the Park,NINE,,,VBL10158,Complete,-123.247043,49.259322
Housing,Binning Tower - Townhouses,BINT,,,VBL10299,Complete,-123.231609,49.25526
Housing,Folio - Townhouses,FOL2,,,VBL10316,Complete,-123.2502,49.272247
Housing,Westchester,WSTR,,,VBL10220,Complete,-123.24911,49.257371
Housing,Logan Lane,LOGN,,,VBL10226,Complete,-123.245758,49.258904
Housing,Chancellor House - Duplexes,CHOD,,,VBL10385,Complete,-123.251863,49.271978
