POI_ID,ADD_ID,PLACENAME,PLACENAME2,ABBREVIATEDPLACENAME,BL_NAME,BL_CLASS,SERVICE_TYPE,PHOTOURL,URL,CONTACT,HOURS,LICENSE,MANAGE,STATUS,LEED,HTML,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,BCN_CODE,BCN_LANDUSE,BCN_NOEMP,BCN_CLASS,LAT,LONG
POI-296,VAD11148,Conferences & Accommodation at UBC,,,Walter Gage Residence,,commercial_services,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/872-2.jpg,http://www.ubcconferences.com/,Phone: (604) 822-1060; Email: conferences@housing.ubc.ca; Fax: (604) 822-1001,,N,SHHS,Current,Services,,,,PLAN,20200708210724,{190A6995-0BAD-489B-B989-204BF8E14992},,,,,-123.248641,49.269439
POI-264,VAD10455,Birdcoop Fitness Center,,,Student Recreation Centre,,athletics,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/774.jpg,http://www.recreation.ubc.ca/fitness/,Phone: (604) 822-6924; Email: birdcoop.fitnesscentre@ubc.ca,(Sep 1-Apr 30) M-Th: 6:30am–10pm; Fri: 6:30am-9pm; Sat: 10am-8pm; Sun: 10am-7pm,N,Athletics,Current,Services,,,,PLAN,20200708210724,{AE79F04A-4306-4184-AB3E-4FC56E019209},CO16,Commercial,10-15,Legal Entities,-123.248788,49.268359
POI-339,VAD10120,Blenz,,,MBA House,,cafe,,https://blenz.com/locations/?store_id=56,Phone: (604) 568-2660,M-Thurs: 6:30am - 10pm; Fri: 6:30am - 9:30pm; Sat/Sun: 7am - 9:30pm,Y,Non-UBC,Current,Services,,,,PLAN,20200708210724,{84594E42-5697-4297-B826-7DF556F8D721},CO4,Commercial,10-15,Legal Entities,-123.235083,49.254027
POI-179,VAD10180,Roy Barnett Recital Hall,,,Music Building,,attractions,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/575.jpg,http://www.music.ubc.ca/about-us/facilities/roy-barnett-recital-hall.html,,,N,UBC,Current,Civic,,,,PLAN,20200708210724,{9BD82704-896B-41CD-BB9F-D95F2103B660},CO12,Commercial,5-10,Legal Entities,-123.256806,49.267439
POI-189,VAD10178,Morris and Helen Belkin Art Gallery,,,Morris and Helen Belkin Art Gallery,,attractions,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/568.jpg,http://belkin.ubc.ca,belkin.gallery@ubc.ca</br>Phone: (604) 822-2759,Mon: Closed; Tues - Fri: 10am - 5pm; Sat/Sun: 12pm - 5pm,N,UBC,Current,Civic,,,,PLAN,20200708210724,{CCB99D88-0F4E-4B62-A2FC-F0C4F13F125C},CO12,Commercial,5-10,Legal Entities,-123.256166,49.268136
POI-280,VAD10616,The Aviary,,,"AMS Nest, Level 2",,commercial_services,,http://www.facebook.com/aviaryUBC,,,N,AMS,Current,Services,,,,PLAN,20200708210725,{026CC965-90D4-4894-B4EA-EF81C89BCE1E},CO15,Commercial,5-10,Legal Entities,-123.249553,49.26645
POI-190,VAD11106,Norm Theatre,,,Student Union Building,,attractions,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/790.jpg,http://www.ams.ubc.ca,webeditor@ams.ubc.ca</br>Phone: (604) 822-2901,,N,AMS,Current,Civic,,,,PLAN,20200708210724,{BE4940A4-357B-4A70-AC7A-C6F3ACC76060},CO12,Commercial,0-5,Legal Entities,-123.250105,49.267434
POI-253,VAD10616,Delly,,,"AMS Nest, Lower Level",,cafe,,,,,N,Non-UBC,Current,Services,,,,PLAN,20200708210724,{96213968-CA27-4923-ADE4-4ED848AD279F},CO2,Commercial,10-15,Legal Entities,-123.249593,49.266497
POI-37,VAD10184,Neville's Cafe,Neville's,,Scarfe,,cafe,,http://www.food.ubc.ca/place/nevilles/,Phone: (604) 827-3325,,N,SHHS,Current,Services,,,,PLAN,20200708210725,{08C9BB9A-33B0-41EA-9D62-AA050F035C7D},CO4,Commercial,5-10,Legal Entities,-123.253132,49.264216
POI-311,VAD11147,Gage Mini Mart,,,Walter Gage Residence,,minimart,,http://www.food.ubc.ca/place/gage-mini-mart/,Phone: (604) 822-5494,,N,SHHS,Current,Retail,,,,PLAN,20200708210725,{18265590-BFCE-4A08-A67F-29F0779FA526},CO10,Commercial,0-5,Legal Entities,-123.249617,49.269436
POI-313,VAD11095,Magda's Mini Mart,,,Totem Park Residence Front Desk,,minimart,,http://www.food.ubc.ca/place/magdas/,Phone: (604) 822-4221,,N,SHHS,Current,Retail,,,,PLAN,20200708210725,{4E99CD59-93BB-49F9-A0C1-2D46D4C32D5B},CO10,Commercial,0-5,Legal Entities,-123.252812,49.25788
POI-320,VAD10616,Ph Tea,,,"AMS Nest, Level 1",,cafe,,http://www.ams.ubc.ca/foodanddrink/phtea/,,,N,AMS,Current,Services,,,,PLAN,20200708210725,{BC16939D-BF25-463C-9D75-C61DE31D757A},CO4,Commercial,5-10,Legal Entities,-123.249967,49.266783
POI-327,VAD11106,Pacific Spirit Place,,,Student Union Building,,cafe,,,,,N,SHHS,Current,Services,,,,PLAN,20200708210725,{EAFB3E66-E4B0-4F95-8BE9-21787EAF0C0A},CO2,Commercial,10-15,Legal Entities,-123.24976,49.267392
POI-328,VAD10080,Starbucks,,,TEF3,,cafe,,http://www.food.ubc.ca/place/starbucks/,,,N,SHHS,Current,Services,,,,PLAN,20200708210725,{8F326C48-E886-46E6-B9BD-E0521BA45E34},CO4,Commercial,10-15,Legal Entities,-123.246604,49.261228
POI-329,VAD10841,Stir It Up,,,Buchanan Building,,cafe,,http://www.food.ubc.ca/place/stir-it-up-cafe/,,,N,SHHS,Current,Services,,,,PLAN,20200708210725,{F442B712-D1C2-4D47-895B-6A97936B865C},CO4,Commercial,5-10,Legal Entities,-123.254858,49.268511
POI-346,VAD10616,Pie R Squared,,,"AMS Nest, Level 1",,cafe,,http://www.ams.ubc.ca/foodanddrink/piersquared/#,,,N,AMS,Current,Services,,,,PLAN,20200708210725,{8B958808-DA93-4499-AF51-D4DD136C5ACC},CO3,Commercial,10-15,Legal Entities,-123.249873,49.266236
POI-347,VAD10616,Grand Noodle Emporium,,,"AMS Nest, Lower Level",,cafe,,http://www.ams.ubc.ca/foodanddrink/grandnoodle/,,,N,AMS,Current,Services,,,,PLAN,20200708210725,{19D79BC1-5F50-4EA9-883E-8885AF4B3BD9},CO2,Commercial,10-15,Legal Entities,-123.249901,49.266707
POI-348,VAD10616,TBD (formerly Qoola),,,"AMS Nest, Level 1",,cafe,,http://www.qoola.com,,,N,Non-UBC,Current,Services,,,,PLAN,20200708210725,{89BB16C4-24C1-443C-84E4-873EEC0D9C7E},,,,,-123.24947,49.26635
POI-350,VAD10616,Liquid Nutrition,,,"AMS Nest, Level 1",,cafe,,http://www.liquidnutrition.com/,,,N,Non-UBC,Current,Services,,,,PLAN,20200708210725,{AEA449DA-F506-41F9-B004-5ECE8CC44BB4},CO4,Commercial,5-10,Legal Entities,-123.249769,49.266702
POI-352,VAD10616,Palate,,,"AMS Nest, Level 1",,cafe,,http://www.ams.ubc.ca/foodanddrink/palate/,,,N,AMS,Current,Services,,,,PLAN,20200708210726,{8EF5DE45-F9A0-446F-9A55-1CB8187D30AA},CO4,Commercial,5-10,Legal Entities,-123.250001,49.266824
POI-82,VAD11103,UBC Bookstore,,,Bookstore,,retail,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/081.jpg,http://www.bookstore.ubc.ca/home,Phone: 1 800 661-3889,M-F: 9.30am - 5.30pm; Sat: 11:00am - 5pm,N,UBC,Current,Retail,,,,PLAN,20200708210720,{4C6A9126-866C-47AF-A09E-DCC2F7E2EDEE},CO14,Commercial,15-20,Legal Entities,-123.250537,49.265301
POI-75,VAD10276,Tim Hortons,,,Forest Sciences Centre,,cafe,,http://www.food.ubc.ca/place/tim-hortons/,Phone: (604) 822-1953,M-F: 7am - 6pm,N,SHHS,Current,Services,,,,PLAN,20200708210719,{9B07E362-B46E-4B61-8109-1AD00322551E},CO4,Commercial,10-15,Legal Entities,-123.248458,49.260271
POI-76,VAD10169,Harvest,,,Ponderosa Commons Oak House,,minimart,,http://www.food.ubc.ca/place/harvest/,Phone: (604) 827-3007,Mon-Sun: 7am - 10pm,N,SHHS,Current,Retail,,,,PLAN,20200708210720,{B409A3D5-C316-4060-ACE5-F86EC20D04E1},CO9,Commercial,10-15,Legal Entities,-123.255742,49.263983
POI-87,VAD10075,Insure BC,,,Tapestry,,commercial_services,,http://www.insurebc.ca/,Phone: (604) 221-7080; Fax: (604) 221-7082,M-F: 8:30am - 6pm; Sat: 10am - 6pm; Sun: Closed,Y,Non-UBC,Current,Services,,,,PLAN,20200708210720,{777386E5-2569-4FB9-87AC-1D3260D79EA7},CO15,Commercial,5-10,Legal Entities,-123.235364,49.254845
POI-89,VAD10073,éliane Hair & Spa,,,Tapestry,,commercial_services,,http://www.elianehairspa.ca/,Phone: (604) 225-5007,"Mon, Tues, Wed, Sat: 9am - 6pm; Thurs, Fri: 9am -7pm; Sun: Closed",Y,Non-UBC,Current,Services,,,,PLAN,20200708210720,{EFFB852F-CEAB-4A93-AA43-32E0EBE35D5A},CO15,Commercial,5-10,Legal Entities,-123.234883,49.25452
POI-90,VAD10067,University Barbershop,,,Mews,,commercial_services,,http://www.theuniversitybarbershop.com/,Phone: (604) 428-3800; Email: info@theuniversitybarbershop.com,M-Wed: 10am - 6pm; Thurs-Fri: 10am - 7pm; Sat: 10am - 6pm; Sun: 11am - 6pm,Y,Non-UBC,Current,Services,,,,PLAN,20200708210720,{9A8DB459-491E-4A20-BBF0-7A2175E71727},CO15,Commercial,0-5,Legal Entities,-123.235584,49.254647
POI-93,VAD10616,Grocery Checkout,,,"AMS Nest, Level 1",,grocery,,http://www.facebook.com/GCIVancouver,Phone: (778) 654-4900,M-F: 8:30am - 7:00pm; Sat/Sun: 10am - 5pm,N,Non-UBC,Current,Food,,,,PLAN,20200708210720,{688ABDC9-CFA8-4F98-8BEE-E65A4AEF3686},CO9,Commercial,5-10,Legal Entities,-123.249311,49.26628
POI-94,VAD10061,Wesbrook Cleaners,,,Mews,,commercial_services,,http://www.discoverwesbrook.com/posts/wesbrook-cleaners#.WWPJvojyvcs,Phone: (604) 732-9020,M-F: 8:30am - 6pm; Sat: 9am - 5pm; Sun: Closed,Y,Non-UBC,Current,Services,,,,PLAN,20200708210720,{E68498A6-A8B2-40F4-9D59-61A504D133C5},CO15,Commercial,0-5,Legal Entities,-123.235504,49.25455
POI-95,VAD10081,Kabro Salon,,,Mews,,commercial_services,,http://www.kabrosalon.com/,Phone: (604) 428-4888; Email: info@kabrosalon.com,"Mon, Sat: 10am - 6pm; Thurs, Fri: 10am - 7pm; Sun: 11am - 6pm",Y,Non-UBC,Current,Services,,,,PLAN,20200708210720,{FD08CE4C-9DF1-4451-86F6-BEE83822418A},CO15,Commercial,0-5,Legal Entities,-123.235626,49.254699
POI-97,VAD10076,Wesbrook Eyecare,,,Mews,,retail,,http://wesbrookeyecare.com/,Phone: (604) 558-3937,M-F: 10:30am - 6pm; Sat: 11am - 5pm; Sun: Closed,Y,Non-UBC,Current,Retail,,,,PLAN,20200708210720,{F6115622-9329-45E0-AFC7-B9FB4B5C52D4},CO14,Commercial,0-5,Legal Entities,-123.235443,49.254476
POI-14,VAD10831,Building Access (Key Desk),,,UBC Bookstore,,campus_services,,https://parking.ubc.ca/building-access-0,Phone: (604) 822-6786; Fax: (604) 827-2509; Email: parking.support@ubc.ca,M-F: 9:30am-5:30pm (Wed until 7pm); Sat: 11am-5pm; 3rd Thurs/month: 11am-5:30pm,N,UBC,Current,Services,,,,PLAN,20200708210721,{7C2024FF-4109-4C88-A844-3E6C1789886A},,,,Academic,-123.250621,49.265047
POI-26,VAD10825,Campus and Community Planning,,,Campus and Community Planning,,campus_services,,https://planning.ubc.ca/vancouver,Phone: (604) 822-8228; Email: info.planning@ubc.ca; Fax: (604) 822-6119,M-F: 8:30am - 4:30pm,N,UBC,Current,Civic,,,,PLAN,20200708210720,{D26D0458-6076-4871-BCB9-2FC5344562B4},,,,Academic,-123.253195,49.26237
POI-99,VAD11066,Fido,,,Mews,,retail,,http://www.fido.ca/,Phone: (604) 307-7775,M-Sat: 10am - 6pm; Sun: 11am - 5pm,Y,Non-UBC,Current,Retail,,,,PLAN,20200708210720,{29423668-84F5-4FFD-8704-580624ADE700},CO14,Commercial,0-5,Legal Entities,-123.235868,49.25483
POI-11,VAD10281,"Applied Science, Faculty of",,,Fred Kaiser Building,,faculty/school,,https://apsc.ubc.ca/,Phone: (604) 822-6413; Email: info@apsc.ubc.ca,,N,UBC,Current,Services,,,,PLAN,20200708210721,{E68CC851-FC4B-4396-B49B-E391952B0C94},,,,Academic,-123.250076,49.262344
POI-102,VAD10563,Mahony and Sons,,,Strangway,,restaurant,,http://mahonyandsons.com/,Phone: (604) 827-4444,"M-Wed: 11am - 12am, Th-F: 11am - 1am; Sat: 12pm - 1am; Sun: 12pm - 11pm",Y,Non-UBC,Current,Services,,,,PLAN,20200708210721,{35FA73FD-A587-4BD9-A726-3D5DC7648FB4},CO6,Commercial,15-20,Legal Entities,-123.246716,49.265965
POI-115,VAD10559,Triple O's,,,David Lam,,cafe,,http://www.food.ubc.ca/place/triple-o/,Phone: (604) 822-3256,M-F: 11am - 7pm; Sat/Sun: 11am - 5pm,N,SHHS,Current,Services,,,,PLAN,20200708210721,{BE3ECA43-4EDE-4778-9352-29F8C6E57E94},CO3,Commercial,10-15,Legal Entities,-123.254398,49.265889
POI-116,VAD10014,Sauder Exchange Cafe,,,Henry Angus,,cafe,,http://www.food.ubc.ca/place/sauder-exchange-cafe/,Phone: (604) 827-4783,M-F: 8am - 3pm; Sat/Sun: Closed,N,SHHS,Current,Services,,,,PLAN,20200708210721,{AB3D4ADC-C55E-4DEC-A40C-884DC23D2CEF},CO4,Commercial,5-10,Legal Entities,-123.253728,49.265218
POI-119,VAD11030,Tim Hortons,,,David Lam,,cafe,,http://www.food.ubc.ca/place/tim-hortons/,Phone: (604) 822-3256,M-F: 7am - 4pm; Sat/Sun: Closed ,N,SHHS,Current,Services,,,,PLAN,20200708210721,{07E72BB9-B6E5-4E0F-9C3F-370BA5207856},CO4,Commercial,10-15,Legal Entities,-123.254283,49.26578
POI-137,VAD10886,Telus Studio Theatre,,,Chan Centre for the Performing Arts,,attractions,,http://chancentre.com/about/,,,N,UBC,Current,Civic,,,,PLAN,20200708210721,{B7562F63-F65A-4BD5-9BB7-5A86C01BAE65},CO12,Commercial,0-5,Legal Entities,-123.255071,49.269781
POI-138,VAD10886,Royal Bank Cinema,,,Chan Centre for the Performing Arts,,attractions,,http://chancentre.com/about/,,,N,UBC,Current,Civic,,,,PLAN,20200708210721,{EDD99735-EF8E-448D-9B52-D75976CECD4C},CO12,Commercial,0-5,Legal Entities,-123.255071,49.269781
POI-139,VAD10886,Chan Shun Concert Hall,,,Chan Centre for the Performing Arts,,attractions,,http://chancentre.com/about/,,,N,UBC,Current,Civic,,,,PLAN,20200708210721,{DFEF43A3-3B2A-4E02-B556-9E428AFF49B9},CO12,Commercial,10-15,Legal Entities,-123.255071,49.269781
POI-68,VAD10840,Career Services,,,Brock Hall,,campus_services,,https://students.ubc.ca/about-student-services/centre-student-involvement-careers,Phone: (604) 822-4011,M-Th: 9am-5:30pm; Fri: 9am-5pm,N,UBC,Current,,,,,PLAN,20200708210721,{381A2C2C-D5E4-4315-A622-0A7AA5F31DD2},,,,Academic,-123.252197,49.268632
POI-142,VAD10161,Lobby Gallery,,,Lui Institute for Global Issues,,attractions,,,,,N,UBC,Current,,,,,PLAN,20200708210721,{44FE5CAC-88C5-40FB-8F86-31BF1ACDD172},CO12,Commercial,0-5,Legal Entities,-123.259288,49.267565
POI-153,VAD11092,UBC Ropes Course,,,,garden,athletics,http://www.flickr.com/photos/26230969@N08/3505922720/in/photostream/,http://www.palropescourse.com/,Email: info@palropescourse.com,,N,Non-UBC,Current,Services,,,,PLAN,20200708210721,{FB3D4E7E-2D31-499B-AF19-7FC817139DED},CO16,Commercial,5-10,Legal Entities,-123.242797,49.254219
POI-166,VAD10072,Roger's Chocolates,,,Mews,,retail,,https://www.rogerschocolates.com/,Phone: (604) 222-9605,M-Thurs: 10am - 5pm; Fri-Sat: 10am - 6pm; Sun: 12pm - 5pm,Y,Non-UBC,Current,Retail,,,,PLAN,20200708210722,{09CDF634-5E2E-4171-8118-39AE60A663B5},CO14,Commercial,0-5,Legal Entities,-123.236008,49.25461
POI-345,VAD10616,Soup Market,,,"AMS Nest, Level 1",,cafe,,,Phone: (604) 446-2433,M-F: 10am-4pm,N,Non-UBC,Current,Services,,,,PLAN,20200708210722,{58E83A27-3F54-49B3-A77C-461A7E6170A3},CO4,Commercial,10-15,Legal Entities,-123.249934,49.266746
POI-185,VAD10427,The Bosque,,,,garden,wood,,,,,N,UBC,Current,,,,,PLAN,20200708210722,{46923F7E-8299-49DD-9A58-32EECE15F9D1},,,,,-123.251216,49.26723
POI-173,VAD11106,The Bike Kitchen,,,Bike Kitchen,,commercial_services,,http://thebikekitchen.com/,"Phone : (604) 827-7333
; Email : bikekitchen@gmail.com",M-F: 10am - 6pm; Sat: 11am - 6pm,N,AMS,Current,Services,,,,PLAN,20200708210722,{AE25875E-79BD-4A5E-BBEC-1D5A727A6054},CI5,Civic,0-5,Legal Entities,-123.252137,49.268325
POI-174,VAD10440,St. Mark's Parish,,,St. Mark's College,,worship,,http://www.stmarksparishvancouver.ca/,Phone: (604) 822-0261; Email: parish.smark@rcav.org,M-F: 12:10pm; Sunday: 9:30am,N,Non-UBC,Current,Civic,,,,PLAN,20200708210722,{4015E668-912A-4127-9BC7-086291C4964E},CI1,Civic,0-5,Legal Entities,-123.248943,49.272161
POI-215,VAD11023,One More Sushi ,,,University Village,,restaurant,,http://onemoresushi.ca/,Phone: (604) 228-9772; Fax: (604) 228-9773,M-F: 11am - 3pm & 5pm - 10pm; Sat: 12pm - 10pm; Sun: Closed,N,UEL,UEL,Services,,,,PLAN,20200708210722,{DAC37D9B-7071-45C1-9235-084AF94B5290},CO2,Commercial,10-15,Legal Entities,-123.242527,49.266024
POI-216,VAD11023,Subway,,,University Village,,cafe,,http://www.food.ubc.ca/place/subway/,Phone: (604) 620-8948,M-F: 7am - 10pm; Sat/Sun: 9am - 10pm,N,UEL,UEL,Services,,,,PLAN,20200708210722,{A2E6A5A5-B442-4DA4-9895-1F99489415BC},CO3,Commercial,10-15,Legal Entities,-123.243203,49.265896
POI-218,VAD11023,Booster Juice,,,University Village,,cafe,,http://boosterjuice.com/,Phone: (604) 568-6603,M-F: 8am - 9pm; Sat: 9am - 9pm; Sun: 10am - 6pm,N,UEL,UEL,Services,,,,PLAN,20200708210722,{6AD34C9D-6C74-4765-B5DB-A82F7DB204B8},CO4,Commercial,10-15,Legal Entities,-123.242835,49.266075
POI-219,VAD10891,Only U Cafe,,,University Village,,cafe,,http://www.facebook.com/pages/Only-U-Cafe/431021496919221,Phone: (604) 221-6511,M-F: 8am - 5pm; Sat: Closed; Sun: 10am - 3pm,N,UEL,UEL,Services,,,,PLAN,20200708210722,{DA6EDE95-BFE1-4213-8589-98BDF024B62F},CO4,Commercial,5-10,Legal Entities,-123.242381,49.265977
POI-223,VAD10891,Gold's Gym,,,University Village,,commercial_services,,http://goldsgymbc.ca/,Phone: (604) 224-4699; Email: info@goldsgymbc.ca,M-F: 6am - 11pm; Sat/Sun: 7am - 9pm,N,UEL,UEL,Services,,,,PLAN,20200708210722,{63324E0A-ADB6-4EA6-88EC-12F84D3058CB},CO16,Commercial,10-15,Legal Entities,-123.242308,49.26632
POI-24,VAD11103,Farmer's Market,,,Bookstore,,farmers market,,http://ubcfarm.ubc.ca/food-production/farm-markets/,farm.team@ubc.ca,June 7-November 1 Wed: 11:30am - 1:30pm,N,UBC,Current,Retail,,,,PLAN,20200708210722,{372E8D82-2F79-484D-9F38-6A1D13279E43},CO9,Commercial,5-10,Legal Entities,-123.250424,49.265438
POI-57,VAD10382,English Language Institute (ELI),,,Continuing Studies Building,,department,,https://eli.ubc.ca/,Phone: (604) 822-1555; Email: https://eli.ubc.ca/contact-us; Fax: (604) 822-1579,M-F: 8:30am - 4:30pm; Sat/Sun: Closed,N,UBC,Current,,,,,PLAN,20200708210722,{59DE3047-7E99-462C-BB4D-70B4274319C0},CI1,Civic,10-15,Legal Entities,-123.254954,49.263365
POI-212,VAD11023,Regent College,,,Regent College,,commercial_services,,http://www.regent-college.edu/,Phone: (604) 224-3245; Email: admissions@regent-college.edu,,N,UEL,UEL,Services,,,,PLAN,20200708210723,{1FA44768-B76B-4E08-AB7A-1A1949226087},CI1,Civic,15-20,Legal Entities,-123.244084,49.265675
POI-499,VAD10616,Honour Roll,Honour Roll Sushi,,"AMS Nest, Level 1",,restaurant,,http://www.food.ubc.ca/place/peko-peko/,Phone: (604) 827-5589,M-S: 10am - 6pm; Sun: Closed,N,AMS,Current,Services,,,,PLAN,20200708210723,{28ABA3B5-8865-4A64-8C0D-AABAEA688705},CO2,Commercial,10-15,Legal Entities,-123.250198,49.266892
POI-29,VAD10831,Campus Security (Lost and Found),,,UBC Bookstore,,campus_services,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/337.jpg,http://www.security.ubc.ca/,(604) 822-2222,7:30am - 6:30pm,N,UBC,Current,Civic,,,,PLAN,20200708210723,{00DCD2A0-0644-4E24-A3C1-BA8EBB9AFDCF},,,,Academic,-123.250681,49.264875
POI-55,VAD10412,Building Operations ,,,University Services Building,,campus_services,,http://buildingoperations.ubc.ca/,Phone: (604) 822-2172; Email: servicecentre.buildingops@ubc.ca,,N,UBC,Current,Civic,,,,PLAN,20200708210723,{2E9BFE43-2143-45CF-B180-FC6000C42B47},,,,Academic,-123.253719,49.261289
